classificador;data;sinalcompra;acertou;openprice;closeprice;vlrcompra;vlrvenda;lucrobrutoR;impostorendaR;custotransacaoR;lucroliquidoR;lucrobrutoP;lucroliquidoP;custotransacaoP;custotransacaoAcumuladoP;lucrobrutoAcumuladoP;lucroliquidoAcumuladoP;evolucaoCapitalR;impostoRendaAcumuladoR
7;20170703;1;S;20.99;21.18;20990.00;21180.00;190.00;35.38;48.49;141.51;0.91;0.71;0.20;0.20;0.91;0.71;141.51;35.38
7;20170704;1;N;21.17;20.76;21170.00;20760.00;-410.00;0.00;0.00;-422.96;-1.94;-1.51;-0.43;-0.23;-1.03;-0.80;-281.44;35.38
7;20170705;1;S;20.69;20.95;20690.00;20950.00;260.00;5.39;18.42;241.58;1.26;0.98;0.28;0.05;0.23;0.18;-39.87;40.77
7;20170706;1;N;21.12;20.84;21120.00;20840.00;-280.00;0.00;0.00;-292.99;-1.33;-1.03;-0.29;-0.24;-1.10;-0.86;-332.85;40.77
7;20170707;1;S;20.91;21.33;20910.00;21330.00;420.00;33.37;46.53;373.47;2.01;1.57;0.44;0.20;0.91;0.71;40.62;74.14
7;20170710;1;S;21.43;21.51;21430.00;21510.00;80.00;13.35;26.59;53.41;0.37;0.29;0.08;0.28;1.28;1.00;94.03;87.49
7;20170712;1;N;21.84;21.19;21840.00;21190.00;-650.00;0.00;0.00;-663.12;-2.98;-2.32;-0.65;-0.37;-1.69;-1.32;-569.09;87.49
7;20170713;1;S;21.33;21.40;21330.00;21400.00;70.00;0.00;13.19;56.81;0.33;0.26;0.07;-0.30;-1.37;-1.07;-512.28;87.49
7;20170714;1;N;21.68;21.50;21680.00;21500.00;-180.00;0.00;0.00;-193.23;-0.83;-0.65;-0.18;-0.48;-2.20;-1.71;-705.51;87.49
7;20170719;1;N;21.87;21.08;21870.00;21080.00;-790.00;0.00;0.00;-803.07;-3.61;-2.82;-0.79;-1.28;-5.81;-4.53;-1508.59;87.49
7;20170720;1;S;20.91;21.02;20910.00;21020.00;110.00;0.00;13.05;96.95;0.53;0.41;0.12;-1.16;-5.28;-4.12;-1411.64;87.49
7;20170721;1;S;21.11;21.29;21110.00;21290.00;180.00;0.00;13.15;166.85;0.85;0.67;0.19;-0.97;-4.43;-3.46;-1244.79;87.49
7;20170724;1;S;21.50;22.35;21500.00;22350.00;850.00;0.00;13.55;836.45;3.95;3.08;0.87;-0.10;-0.48;-0.37;-408.34;87.49
7;20170804;1;S;23.85;24.54;23850.00;24540.00;690.00;105.13;119.49;570.51;2.89;2.26;0.64;0.53;2.42;1.88;162.17;192.62
7;20170808;1;N;24.20;24.20;24200.00;24200.00;0.00;0.00;0.00;-14.24;0.00;0.00;0.00;0.53;2.42;1.88;147.93;192.62
7;20170810;1;N;23.99;23.69;23990.00;23690.00;-300.00;0.00;0.00;-314.05;-1.25;-0.98;-0.28;0.26;1.17;0.91;-166.11;192.62
